number,state,value,params
101,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.32830904611110046, ""max_epochs"": 950, ""n_layers"": 1, ""patience"": 16, ""units_0"": 512}"
102,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3063609723902343, ""max_epochs"": 950, ""n_layers"": 1, ""patience"": 12, ""units_0"": 512}"
103,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3691705503614957, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 14, ""units_0"": 512}"
104,PRUNED,0.975,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.2512703857397306, ""max_epochs"": 1250, ""n_layers"": 1, ""patience"": 17, ""units_0"": 512}"
105,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3973699399776299, ""max_epochs"": 850, ""n_layers"": 1, ""patience"": 11, ""units_0"": 512}"
106,PRUNED,0.9527777777777777,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.06720706459436794, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 27, ""units_0"": 16}"
107,PRUNED,0.8916666666666667,"{""activation_0"": ""sigmoid"", ""batch_size"": 16, ""lr"": 0.08472908520692454, ""max_epochs"": 650, ""n_layers"": 1, ""patience"": 15, ""units_0"": 128}"
108,PRUNED,0.9444444444444444,"{""activation_0"": ""relu"", ""batch_size"": 256, ""lr"": 0.44729199244808243, ""max_epochs"": 950, ""n_layers"": 1, ""patience"": 14, ""units_0"": 8192}"
109,PRUNED,0.9777777777777777,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.27593097134705247, ""max_epochs"": 550, ""n_layers"": 1, ""patience"": 10, ""units_0"": 512}"
110,PRUNED,0.9722222222222222,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.1972277194742801, ""max_epochs"": 2150, ""n_layers"": 1, ""patience"": 12, ""units_0"": 512}"
111,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.31922883648358547, ""max_epochs"": 1150, ""n_layers"": 1, ""patience"": 11, ""units_0"": 512}"
112,PRUNED,0.9861111111111112,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.30288082185717397, ""max_epochs"": 750, ""n_layers"": 1, ""patience"": 13, ""units_0"": 512}"
113,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.3537723422662056, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 13, ""units_0"": 512}"
114,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.332620377841114, ""max_epochs"": 1250, ""n_layers"": 1, ""patience"": 10, ""units_0"": 512}"
115,PRUNED,0.9472222222222222,"{""activation_0"": ""relu"", ""batch_size"": 128, ""lr"": 0.26932778744133634, ""max_epochs"": 1550, ""n_layers"": 1, ""patience"": 11, ""units_0"": 512}"
116,PRUNED,0.9861111111111112,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.2914074784093185, ""max_epochs"": 850, ""n_layers"": 1, ""patience"": 12, ""units_0"": 512}"
117,PRUNED,0.8527777777777777,"{""activation_0"": ""relu"", ""batch_size"": 64, ""lr"": 0.07656955392834928, ""max_epochs"": 1050, ""n_layers"": 1, ""patience"": 16, ""units_0"": 32}"
118,PRUNED,0.9722222222222222,"{""activation_0"": ""relu"", ""batch_size"": 16, ""lr"": 0.4148376033357325, ""max_epochs"": 1450, ""n_layers"": 1, ""patience"": 13, ""units_0"": 512}"
119,PRUNED,0.1,"{""activation_0"": ""relu"", ""activation_1"": ""sigmoid"", ""activation_2"": ""sigmoid"", ""batch_size"": 512, ""lr"": 0.4727492201300372, ""max_epochs"": 1350, ""n_layers"": 3, ""patience"": 24, ""units_0"": 8192, ""units_1"": 128, ""units_2"": 1024}"
